Z,orb,sto,zeff,coeff
2,r1s,1s,1.4595,1.3479
2,r1s,3s,5.3244,-0.001613
2,r1s,2s,2.6298,-0.100506
2,r1s,2s,1.7504,-0.270779
3,r1s,1s,4.3069,0.141279
3,r1s,1s,2.4573,0.874231
3,r1s,3s,6.785,-0.005201
3,r1s,2s,7.4527,-0.002307
3,r1s,2s,1.8504,0.006985
3,r1s,2s,0.7667,-0.000305
3,r1s,2s,0.6364,0.00076
3,r2s,1s,4.3069,-0.022416
3,r2s,1s,2.4573,-0.135791
3,r2s,3s,6.785,0.000389
3,r2s,2s,7.4527,-0.000068
3,r2s,2s,1.8504,-0.076544
3,r2s,2s,0.7667,0.340542
3,r2s,2s,0.6364,0.715708
4,r1s,1s,5.7531,0.285107
4,r1s,1s,3.7156,0.474813
4,r1s,3s,9.967,-0.00162
4,r1s,3s,3.7128,0.052852
4,r1s,2s,4.4661,0.243499
4,r1s,2s,1.2919,0.000106
4,r1s,2s,0.8555,-0.000032
4,r2s,1s,5.7531,-0.016378
4,r2s,1s,3.7156,-0.155066
4,r2s,3s,9.967,0.000426
4,r2s,3s,3.7128,-0.059234
4,r2s,2s,4.4661,-0.031925
4,r2s,2s,1.2919,0.387968
4,r2s,2s,0.8555,0.685674
5,r1s,1s,7.0178,0.381607
5,r1s,1s,3.9468,0.423958
5,r1s,3s,12.7297,-0.001316
5,r1s,3s,2.7646,-0.000822
5,r1s,2s,5.742,0.237016
5,r1s,2s,1.5436,0.001062
5,r1s,2s,1.0802,-0.000137
5,r2s,1s,7.0178,-0.022549
5,r2s,1s,3.9468,0.321716
5,r2s,3s,12.7297,-0.000452
5,r2s,3s,2.7646,-0.072032
5,r2s,2s,5.742,-0.050313
5,r2s,2s,1.5436,-0.484281
5,r2s,2s,1.0802,-0.518986
5,r2p,2p,5.7416,0.0076
5,r2p,2p,2.6341,0.045137
5,r2p,2p,1.834,0.184206
5,r2p,2p,1.1919,0.394754
5,r2p,2p,0.8494,0.432795
6,r1s,1s,8.4936,0.352872
6,r1s,1s,4.8788,0.473621
6,r1s,3s,15.466,-0.001199
6,r1s,2s,7.05,0.210887
6,r1s,2s,2.264,0.000886
6,r1s,2s,1.4747,0.000465
6,r1s,2s,1.1639,-0.000119
6,r2s,1s,8.4936,-0.071727
6,r2s,1s,4.8788,0.438307
6,r2s,3s,15.466,-0.000383
6,r2s,2s,7.05,-0.091194
6,r2s,2s,2.264,-0.393105
6,r2s,2s,1.4747,-0.579121
6,r2s,2s,1.1639,-0.126067
6,r2p,2p,7.05,0.006977
6,r2p,2p,3.2275,0.070877
6,r2p,2p,2.1908,0.230802
6,r2p,2p,1.4413,0.411931
6,r2p,2p,1.0242,0.350701
7,r1s,1s,9.9051,0.354839
7,r1s,1s,5.7429,0.472579
7,r1s,3s,17.9816,-0.001038
7,r1s,2s,8.3087,0.208492
7,r1s,2s,2.7611,0.001687
7,r1s,2s,1.8223,0.000206
7,r1s,2s,1.4191,0.000064
7,r2s,1s,9.9051,-0.067498
7,r2s,1s,5.7429,0.434142
7,r2s,3s,17.9816,-0.000315
7,r2s,2s,8.3087,-0.080331
7,r2s,2s,2.7611,-0.374128
7,r2s,2s,1.8223,-0.522775
7,r2s,2s,1.4191,-0.207735
7,r2p,2p,8.349,0.006323
7,r2p,2p,3.8827,0.082938
7,r2p,2p,2.592,0.260147
7,r2p,2p,1.6946,0.418361
7,r2p,2p,1.1914,0.308272
8,r1s,1s,11.297,0.360063
8,r1s,1s,6.5966,0.466625
8,r1s,3s,20.5019,-0.000918
8,r1s,2s,9.5546,0.208441
8,r1s,2s,3.2482,0.002018
8,r1s,2s,2.1608,0.000216
8,r1s,2s,1.6411,0.000133
8,r2s,1s,11.297,-0.064363
8,r2s,1s,6.5966,0.433186
8,r2s,3s,20.5019,-0.000275
8,r2s,2s,9.5546,-0.072497
8,r2s,2s,3.2482,-0.3699
8,r2s,2s,2.1608,-0.512627
8,r2s,2s,1.6411,-0.227421
8,r2p,2p,9.6471,0.005626
8,r2p,2p,4.3323,0.126618
8,r2p,2p,2.7502,0.328966
8,r2p,2p,1.7525,0.395422
8,r2p,2p,1.2473,0.231788
9,r1s,1s,12.6074,0.377498
9,r1s,1s,7.4101,0.443947
9,r1s,3s,23.2475,-0.000797
9,r1s,2s,10.7416,0.213846
9,r1s,2s,3.7543,0.002183
9,r1s,2s,2.5009,0.000335
9,r1s,2s,1.8577,0.000147
9,r2s,1s,12.6074,-0.058489
9,r2s,1s,7.4101,0.42645
9,r2s,3s,23.2475,-0.000274
9,r2s,2s,10.7416,-0.063457
9,r2s,2s,3.7543,-0.358939
9,r2s,2s,2.5009,-0.51666
9,r2s,2s,1.8577,-0.239143
9,r2p,2p,11.0134,0.004879
9,r2p,2p,4.9962,0.130794
9,r2p,2p,3.154,0.337876
9,r2p,2p,1.9722,0.396122
9,r2p,2p,1.3632,0.225374
10,r1s,1s,13.9074,0.39229
10,r1s,1s,8.2187,0.425817
10,r1s,3s,26.0325,-0.000702
10,r1s,2s,11.9249,0.217206
10,r1s,2s,4.2635,0.0023
10,r1s,2s,2.8357,0.000463
10,r1s,2s,2.0715,0.000147
10,r2s,1s,13.9074,-0.053023
10,r2s,1s,8.2187,0.419502
10,r2s,3s,26.0325,-0.000263
10,r2s,2s,11.9249,-0.055723
10,r2s,2s,4.2635,-0.349457
10,r2s,2s,2.8357,-0.52307
10,r2s,2s,2.0715,-0.246038
10,r2p,2p,12.3239,0.004391
10,r2p,2p,5.6525,0.133955
10,r2p,2p,3.557,0.342978
10,r2p,2p,2.2056,0.395742
10,r2p,2p,1.4948,0.221831
